wnid,noun
n00166865,en passant
n00167063,exchange
n00167278,exchange
n00167446,check
n00167580,discovered check
n00167764,checkmate
n00167764,mate
n00167950,gambit
n00168121,demarche
n00168237,maneuver
n00168237,manoeuvre
n00168237,tactical maneuver
n00168237,tactical manoeuvre
n00168505,parking
n00168658,move
n00168658,relocation
n00168911,flit
n00169047,downshift
n00169147,downshift
n00169305,bank
n00169522,vertical bank
n00169651,chandelle
n00169811,loop
n00169811,loop-the-loop
n00170005,inside loop
n00170172,outside loop
n00170340,roll
n00170536,barrel roll
n00170643,snap roll
n00170710,slip
n00170710,sideslip
n00170844,flight maneuver
n00170844,airplane maneuver
n00171050,straight-arm
n00171249,device
n00171249,gimmick
n00171249,twist
n00171507,mnemonic
n00171618,trick
n00171618,fast one
n00171882,shtik
n00171882,schtik
n00171882,shtick
n00171882,schtick
n00172073,feint
n00172217,juke
n00172217,fake
n00172347,footwork
n00172490,ploy
n00172490,gambit
n00172490,stratagem
n00172598,ruse
n00172598,artifice
n00172710,means
n00172710,agency
n00172710,way
n00173172,dint
n00173283,escape
n00173487,fast track
n00173761,instrument
n00173761,tool
n00174003,road
n00174127,royal road
n00174260,stepping stone
n00174412,measure
n00174412,step
n00174663,countermeasure
n00174782,bear hug
n00174950,proxy fight
n00175174,leveraged buyout
n00175433,bust-up takeover
n00175605,shark repellent
n00175605,porcupine provision
n00175875,golden parachute
n00176052,greenmail
n00176312,pac-man strategy
n00176449,poison pill
n00176609,suicide pill
n00176766,safe harbor
n00176994,scorched-earth policy
n00177127,diagnostic procedure
n00177127,diagnostic technique
n00177448,expedient
n00177638,backstop
n00177783,emergency procedure
n00178024,experimental procedure
n00178177,double-blind procedure
n00178177,double-blind experiment
n00178177,double-blind study
n00178551,makeshift
n00178551,stopgap
n00178551,make-do
n00178700,crutch
n00178832,improvisation
n00178832,temporary expedient
n00178972,pis aller
n00178972,last resort
n00179125,desperate measure
n00179275,open sesame
n00179380,salvation
n00179576,tooth
n00179683,voice
n00179916,wings
n00180054,casting lots
n00180054,drawing lots
n00180054,sortition
n00180228,resolution
n00180413,adoption
n00180413,acceptance
n00180413,acceptation
n00180413,espousal
n00180770,embrace
n00180770,bosom
n00180962,election
n00181191,co-option
n00181191,co-optation
n00181373,reelection
n00181495,plebiscite
n00181640,referendum
n00181781,election
n00182213,vote
n00182435,general election
n00182571,primary
n00182571,primary election
n00182723,direct primary
n00182897,closed primary
n00183084,open primary
n00183240,by-election
n00183240,bye-election
n00183357,runoff
n00183505,vote
n00183505,ballot
n00183505,voting
n00183505,balloting
n00183995,block vote
n00184135,cumulative vote
n00184362,secret ballot
n00184501,split ticket
n00184652,straight ticket
n00184802,multiple voting
n00184981,casting vote
n00185104,reconciliation
n00185104,balancing
n00185307,equation
n00185307,equating
n00185438,breech delivery
n00185438,breech birth
n00185438,breech presentation
n00185612,frank breech
n00185612,frank breech delivery
n00185778,cesarean delivery
